epoch,train_loss,val_loss,ef_mae,ef_r2,ef_rmse,ef_bias,eah_mae,eah_r2,eah_rmse,eah_bias,bg_mae,bg_r2,bg_rmse,bg_bias
0,3.1607,3.9356,0.723323404788971,0.33676964044570923,0.9177684187889099,-0.11529682576656342,0.13091716170310974,0.28381049633026123,0.38788893818855286,-0.08751662820577621,1.1684470176696777,0.18171703815460205,1.5692540407180786,-0.10550861060619354
1,2.6937,3.9326,0.6838617324829102,0.38728100061416626,0.8821280002593994,0.02549188770353794,0.1305842101573944,0.3486514687538147,0.3699134588241577,-0.050612449645996094,1.161624789237976,0.15725082159042358,1.592541217803955,-0.13646498322486877
2,2.6262,3.8567,0.6454445719718933,0.4331580400466919,0.8484610915184021,0.01659131795167923,0.13607566058635712,0.3551608920097351,0.3680604100227356,-0.019833242520689964,1.2577797174453735,0.16593480110168457,1.5843148231506348,0.1882917881011963
3,2.5502,3.7939,0.638599157333374,0.4402427673339844,0.8431420922279358,-0.020329510793089867,0.12979884445667267,0.3520103693008423,0.36895841360092163,-0.05287797376513481,1.2367686033248901,0.1728000044822693,1.577781081199646,0.12689533829689026
4,2.5316,3.8365,0.6598473787307739,0.44221925735473633,0.8416522145271301,0.1193210780620575,0.12699207663536072,0.33970141410827637,0.3724462389945984,-0.06641161441802979,1.1475938558578491,0.15656566619873047,1.5931884050369263,-0.26798051595687866
5,2.4972,3.6946,0.628207802772522,0.46406418085098267,0.825006365776062,-0.020646117627620697,0.15101931989192963,0.33987903594970703,0.3723961412906647,-0.023926135152578354,1.158486247062683,0.19355237483978271,1.5578641891479492,-0.07875671982765198
6,2.4571,3.852,0.6847927570343018,0.4133744239807129,0.863140344619751,0.2638196051120758,0.12664636969566345,0.35444265604019165,0.368265300989151,-0.05885309725999832,1.11210298538208,0.16958898305892944,1.5808404684066772,-0.31136950850486755
7,2.4532,3.8208,0.6493179202079773,0.451793909072876,0.8343971967697144,0.04299043491482735,0.1302674263715744,0.34269851446151733,0.3716000020503998,-0.06069456785917282,1.30951726436615,0.14953696727752686,1.5998129844665527,0.29518944025039673
8,2.4445,3.8276,0.6827806234359741,0.41736215353012085,0.8602016568183899,0.27176132798194885,0.13978365063667297,0.3630896210670471,0.36579063534736633,-0.03285917639732361,1.1170165538787842,0.16909539699554443,1.5813101530075073,-0.29796192049980164
9,2.4321,3.763,0.6336619257926941,0.46085792779922485,0.8274705410003662,0.1452663093805313,0.13404299318790436,0.35913223028182983,0.36692526936531067,-0.044900014996528625,1.1291416883468628,0.16670453548431396,1.5835835933685303,-0.24796855449676514
10,2.4095,3.6797,0.6195928454399109,0.45864325761795044,0.8291683197021484,-0.0997924879193306,0.13649104535579681,0.3504784107208252,0.36939433217048645,-0.04466099664568901,1.1862359046936035,0.20582085847854614,1.5459688901901245,0.05483793839812279
11,2.4064,4.049,0.7331413626670837,0.3619483709335327,0.9001789093017578,0.3771741986274719,0.15541484951972961,0.3709402084350586,0.3635292947292328,-0.0012980947503820062,1.1145038604736328,0.12172657251358032,1.6257597208023071,-0.4487355649471283
12,2.4008,3.5233,0.583344042301178,0.5076038837432861,0.7907846570014954,0.04150989651679993,0.12724219262599945,0.35365158319473267,0.36849087476730347,-0.06242048367857933,1.1355657577514648,0.2251979112625122,1.5269924402236938,0.0008512373315170407
13,2.3598,3.7504,0.6140428185462952,0.4778074026107788,0.814359724521637,0.02020397037267685,0.12561039626598358,0.3564268946647644,0.36769893765449524,-0.06136171519756317,1.094860553741455,0.167336106300354,1.582983374595642,-0.3401314616203308
14,2.3653,3.6657,0.5942744016647339,0.49995195865631104,0.7969053983688354,0.11500773578882217,0.1370941549539566,0.3723776340484619,0.3631137013435364,-0.026972223073244095,1.095531940460205,0.180475652217865,1.570443868637085,-0.2737748622894287
15,2.3666,3.6448,0.6133566498756409,0.48896121978759766,0.8056155443191528,0.09857002645730972,0.13682293891906738,0.35414886474609375,0.3683491349220276,-0.044018879532814026,1.110544204711914,0.1945095658302307,1.5569392442703247,-0.22232675552368164
16,2.3656,3.6126,0.6182207465171814,0.48331111669540405,0.8100568056106567,0.11838158965110779,0.13531015813350677,0.35758841037750244,0.3673669397830963,-0.04883911833167076,1.1544582843780518,0.21126264333724976,1.540663242340088,-0.0007383847841992974
17,2.3282,3.7101,0.5884842276573181,0.5094361305236816,0.7893120050430298,0.04668977111577988,0.13290369510650635,0.35475677251815796,0.3681757152080536,-0.053152866661548615,1.098745346069336,0.16539770364761353,1.5848249197006226,-0.32284167408943176
18,2.3459,3.8893,0.608954906463623,0.4855591058731079,0.8082927465438843,0.13499760627746582,0.13469800353050232,0.3626742959022522,0.3659099042415619,-0.04653554782271385,1.1522517204284668,0.11144411563873291,1.6352488994598389,-0.3164856731891632
19,2.3191,3.6286,0.5801952481269836,0.5010098218917847,0.7960621118545532,-0.02230593003332615,0.13022270798683167,0.3399253487586975,0.37238308787345886,-0.06847827136516571,1.1126773357391357,0.20387351512908936,1.5478630065917969,-0.1937648206949234
20,2.3153,3.6655,0.5853369832038879,0.5171098709106445,0.7831141948699951,0.005804579239338636,0.13021136820316315,0.3619711399078369,0.366111695766449,-0.05499223247170448,1.247580885887146,0.17240798473358154,1.5781550407409668,0.3256148397922516
21,2.3135,3.5984,0.5796968340873718,0.5199021100997925,0.7808467745780945,-0.04862295836210251,0.1293417364358902,0.36026084423065186,0.3666020333766937,-0.055864185094833374,1.1698148250579834,0.19339519739151,1.5580158233642578,0.04646992310881615
