epoch,train_loss,val_loss,timestamp,epoch_time_s,system_lr,system_grad_norm,system_epoch_time_s,system_throughput,system_gpu_memory_mb,formation_energy_mae,formation_energy_rmse,formation_energy_r2,formation_energy_pearson,formation_energy_spearman,formation_energy_bias,energy_above_hull_mae,energy_above_hull_rmse,energy_above_hull_r2,energy_above_hull_pearson,energy_above_hull_spearman,energy_above_hull_bias,band_gap_mae,band_gap_rmse,band_gap_r2,band_gap_pearson,band_gap_spearman,band_gap_bias,gradnorm_weights_band_gap,gradnorm_weights_energy_above_hull,gradnorm_weights_formation_energy
0,3.0743,4.0396,2026-07-01T12:05:01.578153,363.73,0.0005,0.0,363.7,45.7,1444.8,0.6917304992675781,0.8827736973762512,0.38638365268707275,0.6244117617607117,0.5236666677102513,-0.0184654388576746,0.15547756850719452,0.3852688670158386,0.29345303773880005,0.6043313145637512,0.11250858423884547,-0.02704009972512722,1.1884599924087524,1.6192303895950317,0.1287669539451599,0.3908805549144745,0.43255138270415155,-0.18923164904117584,1.3087,1.0592,0.0926
1,2.6547,3.9511,2026-07-01T12:11:02.218725,360.35,0.0005,0.0,360.4,46.2,1510.7,0.6853887438774109,0.8657147884368896,0.4098697900772095,0.6523149609565735,0.5440260514526027,0.09552657604217529,0.12869144976139069,0.3761104941368103,0.32664501667022705,0.6065797805786133,0.21207881820888122,-0.06720201671123505,1.1344690322875977,1.6127521991729736,0.13572436571121216,0.4016859531402588,0.4168484172937833,-0.2712012827396393,2.0123,1.2241,0.1116
2,2.6063,3.8593,2026-07-01T12:17:03.566828,361.05,0.0005,0.0,361.0,46.1,1510.7,0.6500398516654968,0.8447222113609314,0.43814271688461304,0.6676344871520996,0.5580433621377623,-0.03505714237689972,0.13734842836856842,0.37981152534484863,0.3133278489112854,0.6092599034309387,0.260119383352851,-0.052821073681116104,1.1738966703414917,1.5947637557983398,0.15489691495895386,0.4187993109226227,0.4214990401623546,-0.15688936412334442,2.5726,0.7853,0.1914
3,2.5707,3.8253,2026-07-01T12:23:05.455793,361.67,0.0005,0.0,361.7,46.0,1510.7,0.6323128342628479,0.8277076482772827,0.46054887771606445,0.6805230975151062,0.565240578330798,0.05269268900156021,0.12870000302791595,0.37748992443084717,0.32169675827026367,0.6089541912078857,0.2447418464658702,-0.039844583719968796,1.15895414352417,1.596664309501648,0.15288132429122925,0.44191625714302063,0.4615203647770195,-0.19950830936431885,1.332,1.4289,0.3761
4,2.5224,3.8265,2026-07-01T12:29:07.715876,361.82,0.0005,0.0,361.8,46.0,1510.7,0.6371930241584778,0.8312374949455261,0.4559379816055298,0.6875322461128235,0.5719474289725057,0.14584746956825256,0.12520475685596466,0.36623191833496094,0.3615519404411316,0.6129261255264282,0.22941609468958232,-0.04622359201312065,1.110930323600769,1.5999503135681152,0.14939099550247192,0.44999536871910095,0.4562968318884913,-0.3422127068042755,1.5077,1.3862,0.3541
5,2.4764,3.7288,2026-07-01T12:35:07.949564,360.09,0.0005,0.0,360.1,46.2,1510.7,0.6379486918449402,0.8304568529129028,0.45695942640304565,0.6876993179321289,0.5745366521116414,-0.060694579035043716,0.1349208652973175,0.3717786967754364,0.34206628799438477,0.6127477288246155,0.2185430511322026,-0.049664683640003204,1.1912094354629517,1.561078429222107,0.19022107124328613,0.43685829639434814,0.41877551215596714,0.0371987521648407,1.3226,1.4786,0.2496
6,2.4665,3.6836,2026-07-01T12:41:08.462869,360.37,0.0005,0.0,360.4,46.2,1510.7,0.6279659271240234,0.8173003196716309,0.47402942180633545,0.6966798305511475,0.5757464139185937,0.10714693367481232,0.12967880070209503,0.365466445684433,0.3642180562019348,0.6113916635513306,0.20457030056297465,-0.04385000839829445,1.1412550210952759,1.5647443532943726,0.18641328811645508,0.47256895899772644,0.4893903063854485,-0.1684192568063736,1.1245,1.3277,0.2355
7,2.4274,3.6077,2026-07-01T12:47:10.028106,361.37,0.0005,0.0,361.4,46.0,1510.7,0.6239000558853149,0.8187536597251892,0.4721570611000061,0.695309579372406,0.5764776984674912,-0.06709164381027222,0.13024309277534485,0.3700149357318878,0.34829407930374146,0.6099738478660583,0.191200828231255,-0.05854068323969841,1.1549373865127563,1.5372401475906372,0.21476346254348755,0.4656626582145691,0.4552596671971903,-0.016604550182819366,1.4055,0.5816,0.1039
8,2.4429,3.6897,2026-07-01T12:53:10.721921,360.51,0.0005,0.0,360.5,46.2,1510.7,0.6087455153465271,0.8046390414237976,0.49019938707351685,0.7028495669364929,0.5781660012323243,0.024250753223896027,0.13137976825237274,0.3673405349254608,0.3576808571815491,0.6133798360824585,0.2050234939240827,-0.051391977816820145,1.2403634786605835,1.5666512250900269,0.18442922830581665,0.46211138367652893,0.4906251030091401,0.19539541006088257,2.9343,0.7238,0.1527
9,2.3759,3.5962,2026-07-01T12:59:11.319645,360.46,0.0005,0.0,360.5,46.2,1510.7,0.6237854957580566,0.8226833343505859,0.46707814931869507,0.7021941542625427,0.5742746016417168,0.16754840314388275,0.14561715722084045,0.36579257249832153,0.3630828261375427,0.6120455265045166,0.20781179378765777,-0.023564718663692474,1.1308866739273071,1.5347216129302979,0.21733444929122925,0.4696960151195526,0.4951545689219601,0.01800222136080265,0.7667,1.6785,0.3909
